x,y,z,yaw,velocity,change_flag
639814.8078,5195048.0438,245.0000,-1.5895,18.2017,0
639814.8038,5195047.0395,245.0000,-1.5957,18.4350,0
639814.7895,5195046.0182,245.0000,-1.6026,18.7851,0
639814.7639,5195044.9796,245.0000,-1.6098,19.0184,0
639814.7276,5195043.9259,245.0000,-1.6173,19.2518,0
639814.6808,5195042.8564,245.0000,-1.6243,19.6018,0
639814.6238,5195041.7783,245.0000,-1.6310,19.7185,0
639814.5587,5195040.6942,245.0000,-1.6372,19.7185,0
639814.4872,5195039.6192,245.0000,-1.6432,19.8352,0
639814.4083,5195038.5267,245.0000,-1.6492,19.7185,0
639814.3226,5195037.4427,245.0000,-1.6548,19.7185,0
639814.2318,5195036.3658,245.0000,-1.6599,19.6018,0
639814.1375,5195035.2930,245.0000,-1.6646,19.4851,0
639814.0398,5195034.2264,245.0000,-1.6688,19.4851,0
639813.9396,5195033.1648,245.0000,-1.6722,19.3685,0
639813.8379,5195032.1063,245.0000,-1.6747,19.3685,0
639813.7365,5195031.0537,245.0000,-1.6762,19.2518,0
639813.6372,5195030.0055,245.0000,-1.6765,19.1351,0
639813.5420,5195028.9645,245.0000,-1.6751,19.0184,0
639813.4528,5195027.9250,245.0000,-1.6721,19.0184,0
639813.3723,5195026.8913,245.0000,-1.6676,18.7851,0
639813.3027,5195025.8623,245.0000,-1.6616,18.7851,0
639813.2453,5195024.8377,245.0000,-1.6543,18.6684,0
639813.2003,5195023.8182,245.0000,-1.6464,18.5517,0
639813.1680,5195022.8045,245.0000,-1.6379,18.4350,0
639813.1480,5195021.7970,245.0000,-1.6284,18.4350,0
639813.1405,5195020.6977,245.0000,-1.6174,18.2017,0
639813.1482,5195019.6073,245.0000,-1.6064,18.0850,0
639813.1679,5195018.5247,245.0000,-1.5961,17.9683,0
639813.2004,5195017.4499,245.0000,-1.5856,17.8516,0
639813.2426,5195016.3830,245.0000,-1.5752,17.6183,0
639813.2953,5195015.3253,245.0000,-1.5651,17.5016,0
639813.3578,5195014.2752,245.0000,-1.5553,17.5016,0
639813.4277,5195013.2344,245.0000,-1.5463,17.2683,0
639813.5060,5195012.1984,245.0000,-1.5377,17.1516,0
639813.5898,5195011.1678,245.0000,-1.5310,17.0349,0
639813.6764,5195010.1440,245.0000,-1.5255,16.9182,0
639813.7624,5195009.1293,245.0000,-1.5215,16.8016,0
639813.8471,5195008.1234,245.0000,-1.5185,16.8016,0
639813.9309,5195007.1238,245.0000,-1.5163,16.5682,0
639814.0198,5195006.0428,245.0000,-1.5143,16.4515,0
639814.1069,5195004.9678,245.0000,-1.5133,16.3348,0
639814.1905,5195003.9012,245.0000,-1.5139,16.2182,0
639814.2700,5195002.8406,245.0000,-1.5159,16.1015,0
639814.3413,5195001.7900,245.0000,-1.5191,15.8681,0
639814.4028,5195000.7787,245.0000,-1.5234,15.1681,0
639814.4575,5194999.7151,245.0000,-1.5297,14.5847,0
639814.5000,5194998.6971,245.0000,-1.5374,14.0013,0
639814.5299,5194997.6484,245.0000,-1.5477,13.5346,0
639814.5448,5194996.6230,245.0000,-1.5594,13.1846,0
639814.5439,5194995.6174,245.0000,-1.5719,13.0679,0
639814.5283,5194994.6160,245.0000,-1.5861,13.0679,0
639814.4962,5194993.6127,245.0000,-1.6043,13.0679,0
639814.4325,5194992.5436,245.0000,-1.6320,12.9512,0
639814.3270,5194991.4771,245.0000,-1.6695,12.9512,0
639814.1646,5194990.4194,245.0000,-1.7176,12.9512,0
639813.9481,5194989.4355,245.0000,-1.7727,13.0679,0
639813.6604,5194988.4685,245.0000,-1.8372,13.0679,0
639813.2901,5194987.5273,245.0000,-1.9112,13.0679,0
639812.8362,5194986.6242,245.0000,-1.9927,12.9512,0
639812.2973,5194985.7735,245.0000,-2.0814,12.9512,0
639811.6747,5194984.9849,245.0000,-2.1748,12.9512,0
639810.9760,5194984.2666,245.0000,-2.2706,12.8345,0
639810.1558,5194983.5928,245.0000,-2.3745,12.7178,0
639809.2753,5194983.0178,245.0000,-2.4776,12.4845,0
639808.3415,5194982.5341,245.0000,-2.5765,12.4845,0
639807.3757,5194982.1444,245.0000,-2.6721,12.6012,0
639806.3684,5194981.8375,245.0000,-2.7632,12.8345,0
639805.3877,5194981.6180,245.0000,-2.8432,13.0679,0
639804.3712,5194981.4615,245.0000,-2.9182,13.3012,0
639803.3254,5194981.3666,245.0000,-2.9843,13.6513,0
639802.2508,5194981.3235,245.0000,-3.0406,13.8846,0
639801.2316,5194981.3181,245.0000,-3.0844,14.2346,0
639800.1895,5194981.3417,245.0000,-3.1245,14.5847,0
639799.1239,5194981.3967,245.0000,3.1205,14.9347,0
639798.1176,5194981.4791,245.0000,3.0867,15.2847,0
639797.0956,5194981.5938,245.0000,3.0556,15.6348,0
639796.0557,5194981.7384,245.0000,3.0278,15.9848,0
639794.9994,5194981.9096,245.0000,3.0027,16.3348,0
639793.9257,5194982.1054,245.0000,2.9780,16.5682,0
639792.9243,5194982.3112,245.0000,2.9542,16.9182,0
639791.9155,5194982.5469,245.0000,2.9285,17.2683,0
639790.8894,5194982.8167,245.0000,2.9017,17.6183,0
639789.8561,5194983.1242,245.0000,2.8727,17.8516,0
639788.9068,5194983.4423,245.0000,2.8441,18.2017,0
639787.9538,5194983.7979,245.0000,2.8135,18.5517,0
639787.0043,5194984.1949,245.0000,2.7807,18.6684,0
639786.0583,5194984.6365,245.0000,2.7459,19.0184,0
639785.1174,5194985.1237,245.0000,2.7088,19.2518,0
639784.1955,5194985.6570,245.0000,2.6685,19.2518,0
639783.3061,5194986.2362,245.0000,2.6241,19.0184,0
639782.4654,5194986.8543,245.0000,2.5763,18.9017,0
639781.6555,5194987.5276,245.0000,2.5250,18.7851,0
639780.9042,5194988.2406,245.0000,2.4706,18.4350,0
639780.2192,5194988.9854,245.0000,2.4135,18.0850,0
639779.5420,5194989.8406,245.0000,2.3488,17.6183,0
639778.9465,5194990.7249,245.0000,2.2830,17.1516,0
