x,y,z,yaw,velocity,change_flag
43.5083999999,9.84369999915,245.0000,-1.5834,17.7350,0
43.5138999999,8.7583999997,245.0000,-1.5895,18.2017,0
43.5098999999,7.75409999955,245.0000,-1.5957,18.4350,0
43.4955999999,6.73279999942,245.0000,-1.6026,18.7851,0
43.47,5.69419999979,245.0000,-1.6098,19.0184,0
43.4336999999,4.64049999975,245.0000,-1.6173,19.2518,0
43.3868999999,3.57099999953,245.0000,-1.6243,19.6018,0
43.3298999999,2.49289999995,245.0000,-1.6310,19.7185,0
43.2648,1.40879999939,245.0000,-1.6372,19.7185,0
43.1932999999,0.333799999207,245.0000,-1.6432,19.8352,0
43.1144,-0.758700000122,245.0000,-1.6492,19.7185,0
43.0286999999,-1.84270000085,245.0000,-1.6548,19.7185,0
42.9378999999,-2.9196000006,245.0000,-1.6599,19.6018,0
42.8435999999,-3.9924000008,245.0000,-1.6646,19.4851,0
42.7459,-5.05900000036,245.0000,-1.6688,19.4851,0
42.6457,-6.12060000002,245.0000,-1.6722,19.3685,0
42.544,-7.1791000003,245.0000,-1.6747,19.3685,0
42.4426,-8.23170000035,245.0000,-1.6762,19.2518,0
42.3432999999,-9.27990000043,245.0000,-1.6765,19.1351,0
42.2481,-10.3209000006,245.0000,-1.6751,19.0184,0
42.1588999999,-11.3604000006,245.0000,-1.6721,19.0184,0
42.0784,-12.3941000002,245.0000,-1.6676,18.7851,0
42.0088,-13.4231000002,245.0000,-1.6616,18.7851,0
41.9513999999,-14.4477000004,245.0000,-1.6543,18.6684,0
41.9064,-15.4672000008,245.0000,-1.6464,18.5517,0
41.8740999999,-16.4809000008,245.0000,-1.6379,18.4350,0
41.8541,-17.4884000001,245.0000,-1.6284,18.4350,0
41.8465999999,-18.5877,245.0000,-1.6174,18.2017,0
41.8543,-19.6781000001,245.0000,-1.6064,18.0850,0
41.874,-20.7607000005,245.0000,-1.5961,17.9683,0
41.9064999999,-21.8355,245.0000,-1.5856,17.8516,0
